source_id,question,answer,topic,difficulty
faq_tokenization_001,What is tokenization in NLP?,Tokenization is the process of splitting text into smaller units such as words subwords or characters so a model can process the sequence.,tokenization,intro
faq_tokenization_002,Why do NLP systems tokenize text before modeling?,Models operate on discrete input units so tokenization turns raw text into a sequence of manageable symbols with stable boundaries.,tokenization,intro
faq_tokenization_003,What is the difference between word tokenization and subword tokenization?,Word tokenization keeps whole words when possible while subword tokenization breaks rare or complex words into smaller learned pieces.,tokenization,intermediate
faq_tokenization_004,Why is subword tokenization useful for large language models?,Subword tokenization reduces out of vocabulary problems because rare words can be represented as combinations of common pieces.,tokenization,intermediate
faq_tokenization_005,What is an out of vocabulary token?,An out of vocabulary token is a word or symbol that does not appear in the tokenizer vocabulary and must be approximated or replaced.,tokenization,intro
faq_tokenization_006,How can tokenization affect downstream model quality?,Poor token boundaries can hide useful patterns or make sequences unnecessarily long which can hurt efficiency and accuracy.,tokenization,advanced
faq_embeddings_001,What is an embedding?,An embedding is a dense numeric vector that represents a token phrase or document in a way that captures useful semantic or contextual information.,embeddings,intro
faq_embeddings_002,Why are embeddings preferred over one hot vectors in modern NLP?,Embeddings are compact and can place related items near each other while one hot vectors are sparse and do not encode similarity by themselves.,embeddings,intro
faq_embeddings_003,What does it mean when two embeddings are close in vector space?,It usually means the model has learned that the two items appear in related contexts or have similar functional roles.,embeddings,intermediate
faq_embeddings_004,What is the difference between static and contextual embeddings?,Static embeddings assign one vector per token type while contextual embeddings change the vector depending on surrounding text.,embeddings,intermediate
faq_embeddings_005,Why do document embeddings matter in retrieval systems?,Document embeddings let the system compare a query with passages in a shared vector space so semantically related text can be retrieved.,embeddings,intermediate
faq_embeddings_006,Do embeddings guarantee interpretability?,No. Embeddings can be useful for similarity and prediction even when individual dimensions do not have simple human readable meanings.,embeddings,advanced
faq_neural_networks_001,What does a neural network learn during training?,A neural network learns parameter values that reduce prediction error on the training objective.,neural_networks,intro
faq_neural_networks_002,Why are non linear activation functions important?,Non linear activations let stacked layers represent complex functions that a purely linear model cannot express.,neural_networks,intro
faq_neural_networks_003,What is the role of a loss function?,The loss function measures how far model predictions are from targets and gives training a quantity to minimize.,neural_networks,intro
faq_neural_networks_004,What is a hidden representation?,A hidden representation is an intermediate feature vector produced inside the network that summarizes useful structure from the input.,neural_networks,intermediate
faq_neural_networks_005,How does gradient based learning update a model?,Gradient based learning computes how the loss changes with respect to each parameter and then adjusts parameters in the direction that lowers loss.,neural_networks,intermediate
faq_neural_networks_006,Why can deep networks learn hierarchical features?,Different layers can specialize in different levels of abstraction so later layers build on patterns detected earlier.,neural_networks,advanced
faq_rnns_001,What problem were recurrent neural networks designed to address?,RNNs were designed for sequential data where earlier inputs can influence the interpretation of later inputs.,rnns,intro
faq_rnns_002,What is the hidden state in an RNN?,The hidden state is a running summary that carries information from earlier time steps to later ones.,rnns,intro
faq_rnns_003,Why does word order matter for RNN based language models?,Changing order can change meaning so the model needs a mechanism that processes tokens as an ordered sequence.,rnns,intro
faq_rnns_004,What is an unrolled RNN?,An unrolled RNN is a conceptual view of the same recurrent cell repeated across time steps so training dependencies can be analyzed.,rnns,intermediate
faq_rnns_005,What is a common limitation of basic RNNs?,Basic RNNs often struggle with long range dependencies because the recurrent path can weaken information over many steps.,rnns,intermediate
faq_rnns_006,Why are RNNs less parallelizable than transformers?,RNNs usually process one step after another because each hidden state depends on the previous one.,rnns,advanced
faq_lstms_grus_001,Why were LSTMs introduced?,LSTMs were introduced to improve long range sequence modeling by adding gates that control what information is stored or forgotten.,lstms_grus,intro
faq_lstms_grus_002,What is the cell state in an LSTM?,The cell state is a memory pathway that allows information to move through time with less distortion than a simple hidden state alone.,lstms_grus,intermediate
faq_lstms_grus_003,How does a GRU differ from an LSTM?,A GRU uses a simpler gating design with fewer components while still trying to preserve useful sequential information.,lstms_grus,intermediate
faq_lstms_grus_004,What does the forget gate do in an LSTM?,The forget gate controls how much of the previous memory should be kept or discarded at the next time step.,lstms_grus,intermediate
faq_lstms_grus_005,When might a GRU be chosen over an LSTM?,A GRU may be chosen when a simpler recurrent unit is preferred and comparable performance is acceptable for the task.,lstms_grus,advanced
faq_lstms_grus_006,Do gated recurrent units remove all long context problems?,No. Gates help but very long contexts can still be challenging depending on data model size and training conditions.,lstms_grus,advanced
faq_attention_001,What is attention in neural sequence modeling?,Attention is a mechanism that lets a model assign different importance weights to different parts of the input when producing an output.,attention,intro
faq_attention_002,Why is attention useful in translation or summarization?,It helps the model focus on the most relevant source tokens instead of compressing everything into one fixed size vector.,attention,intro
faq_attention_003,What is self attention?,Self attention lets tokens in the same sequence compare with one another so each token representation can incorporate broader context.,attention,intro
faq_attention_004,What are queries keys and values?,They are learned projections used to score relevance and then mix information from different tokens into contextual outputs.,attention,intermediate
faq_attention_005,Why is scaled dot product attention scaled?,Scaling by the square root of the key dimension keeps large dot products from making softmax scores overly sharp.,attention,intermediate
faq_attention_006,What is one advantage of self attention over a simple recurrent path?,Self attention can connect distant tokens directly without passing information step by step through every intermediate position.,attention,advanced
faq_transformers_001,What is a transformer?,A transformer is a sequence model built around attention and feedforward layers rather than recurrence.,transformers,intro
faq_transformers_002,Why are transformers more parallelizable than RNNs?,Tokens within a layer can be processed together because attention does not require a strictly step by step hidden state update.,transformers,intro
faq_transformers_003,Why do transformers need positional information?,Attention alone does not encode order so positional signals tell the model where tokens appear in the sequence.,transformers,intro
faq_transformers_004,What is multi head attention?,Multi head attention uses several attention projections in parallel so the model can capture different relationships at the same time.,transformers,intermediate
faq_transformers_005,What does the feedforward block do in a transformer?,The feedforward block applies learned non linear transformations to each position after attention has mixed contextual information.,transformers,intermediate
faq_transformers_006,What is an encoder decoder transformer?,It is a transformer architecture where an encoder builds source representations and a decoder conditions on them to generate target tokens.,transformers,intermediate
faq_transformers_007,Why have transformers become central in modern NLP?,They scale well to large corpora support strong contextual modeling and provide a flexible backbone for many NLP tasks.,transformers,advanced
faq_bert_style_encoders_001,What is a BERT style encoder?,A BERT style encoder is a bidirectional transformer encoder that builds contextual representations from both left and right context.,bert_style_encoders,intro
faq_bert_style_encoders_002,Why are encoder only models strong for classification tasks?,They produce rich contextual token or sequence representations that can be used directly for labeling or sentence level prediction.,bert_style_encoders,intermediate
faq_bert_style_encoders_003,What is masked language modeling?,Masked language modeling trains a model to predict hidden tokens from surrounding context so it learns contextual language patterns.,bert_style_encoders,intermediate
faq_bert_style_encoders_004,What does bidirectional context mean in BERT like models?,It means a token representation can depend on tokens that appear before and after that token in the input sequence.,bert_style_encoders,intro
faq_bert_style_encoders_005,Why are encoder representations useful in retrieval and reranking?,They can encode passages or queries into meaningful vectors or features that help estimate relevance.,bert_style_encoders,advanced
faq_gpt_style_decoders_001,What is a GPT style decoder?,A GPT style decoder is an autoregressive transformer that predicts the next token using previous tokens as context.,gpt_style_decoders,intro
faq_gpt_style_decoders_002,Why do decoder only models use causal masking?,Causal masking prevents a position from seeing future tokens so training matches next token prediction at inference time.,gpt_style_decoders,intro
faq_gpt_style_decoders_003,What does autoregressive generation mean?,Autoregressive generation means the model produces one token at a time and conditions each new token on earlier generated tokens.,gpt_style_decoders,intro
faq_gpt_style_decoders_004,Why can decoder only transformers handle long text continuations?,They repeatedly extend the context window with their own outputs while reusing the same learned next token objective.,gpt_style_decoders,intermediate
faq_gpt_style_decoders_005,Why are GPT style models commonly paired with retrieval?,Retrieval can supply grounded context so a decoder model answers with fresher or more task specific information than parameters alone may contain.,gpt_style_decoders,advanced
faq_sequence_to_sequence_001,What is a sequence to sequence model?,A sequence to sequence model maps one ordered input sequence to another ordered output sequence.,sequence_to_sequence,intro
faq_sequence_to_sequence_002,What tasks fit the sequence to sequence setting?,Tasks such as translation summarization and some dialogue or data to text problems fit the sequence to sequence setting.,sequence_to_sequence,intro
faq_sequence_to_sequence_003,Why is an encoder useful in sequence to sequence modeling?,The encoder builds source representations that the decoder can consult while generating the output sequence.,sequence_to_sequence,intermediate
faq_sequence_to_sequence_004,What is teacher forcing in sequence generation?,Teacher forcing feeds the true previous target token during training instead of the model own earlier prediction.,sequence_to_sequence,intermediate
faq_sequence_to_sequence_005,What is exposure bias in generative sequence models?,Exposure bias refers to the mismatch between training with gold previous tokens and inference with model generated previous tokens.,sequence_to_sequence,advanced
faq_rag_001,What is retrieval augmented generation?,Retrieval augmented generation combines document retrieval with answer generation so the model can condition on external context.,rag,intro
faq_rag_002,Why is retrieval useful in question answering systems?,Retrieval narrows the evidence set and gives the answering component concrete passages to rely on.,rag,intro
faq_rag_003,What is the difference between parametric memory and retrieved context?,Parametric memory is stored in model weights while retrieved context comes from an external knowledge source at query time.,rag,intermediate
faq_rag_004,Why does a RAG prompt often instruct the model to use only retrieved context?,That instruction encourages grounded answers and reduces unsupported claims that are not backed by the retrieved evidence.,rag,intermediate
faq_rag_005,What happens when retrieval misses the right evidence?,The generation step has weaker grounding and may answer incompletely or say it lacks enough information.,rag,intermediate
faq_rag_006,Why is offline fallback useful in a course RAG project?,An offline fallback allows retrieval and extractive answering to keep working even when API access or dense model downloads are unavailable.,rag,advanced
faq_evaluation_metrics_001,What does Recall@3 measure in a retrieval system?,Recall@3 measures whether a relevant source appears within the top three retrieved results.,evaluation_metrics,intro
faq_evaluation_metrics_002,Why is exact accuracy not enough for retrieval evaluation?,Retrieval quality depends on ranking relevant evidence not just on whether one final answer string matches exactly.,evaluation_metrics,intermediate
faq_evaluation_metrics_003,What is a faithfulness score in a grounded QA system?,A faithfulness score estimates how well the generated answer is supported by the retrieved evidence.,evaluation_metrics,intermediate
faq_evaluation_metrics_004,Why should evaluation use fixed test questions?,Fixed questions make it easier to compare changes over time because the benchmark stays stable.,evaluation_metrics,intro
faq_evaluation_metrics_005,Why should qualitative error analysis accompany metrics?,Metrics summarize overall performance while error analysis reveals specific failure modes such as missing evidence or unsupported claims.,evaluation_metrics,advanced
faq_hallucination_faithfulness_001,What is a hallucination in an NLP answer generation system?,A hallucination is content that sounds plausible but is not supported by the available evidence or task context.,hallucination_faithfulness,intro
faq_hallucination_faithfulness_002,How is faithfulness different from fluency?,Fluency concerns readability while faithfulness concerns whether claims are grounded in the source evidence.,hallucination_faithfulness,intro
faq_hallucination_faithfulness_003,How can retrieval help reduce hallucination?,Good retrieval provides relevant passages that the answering step can quote summarize or extract from instead of guessing.,hallucination_faithfulness,intermediate
faq_hallucination_faithfulness_004,Why should a system admit uncertainty when context is weak?,A conservative answer is safer than inventing unsupported details when evidence is missing or ambiguous.,hallucination_faithfulness,intermediate
faq_hallucination_faithfulness_005,Can a fully grounded answer still be incomplete?,Yes. An answer can stay faithful to the evidence while still omitting details that were not retrieved or not asked for directly.,hallucination_faithfulness,advanced
faq_chromadb_vector_search_001,What is a vector store?,A vector store keeps embeddings and metadata so similarity search can return passages related to a query vector.,chromadb_vector_search,intro
faq_chromadb_vector_search_002,What does ChromaDB do in a small RAG project?,ChromaDB persists embedded chunks and supports similarity queries over those chunk vectors.,chromadb_vector_search,intro
faq_chromadb_vector_search_003,Why is metadata important in vector search?,Metadata lets the system trace a retrieved chunk back to its source topic and other attributes needed for inspection or citation.,chromadb_vector_search,intermediate
faq_chromadb_vector_search_004,What is the role of collection.add in ChromaDB?,collection.add stores chunk identifiers documents embeddings and metadata in the collection so they can be queried later.,chromadb_vector_search,intermediate
faq_chromadb_vector_search_005,What is the role of collection.query in ChromaDB?,collection.query compares a query embedding to stored embeddings and returns the top matching documents with metadata.,chromadb_vector_search,intermediate
faq_chromadb_vector_search_006,Why should a course project keep the vector corpus small and clean?,A compact well curated corpus is easier to inspect faster to index locally and simpler to evaluate honestly on a laptop.,chromadb_vector_search,advanced
